root	status	url
SWIFT_A2L414_A2L412_2_RS	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L414_A2L412_2_RS/
SWIFT_A2L414_A2L412_2_SF	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L414_A2L412_2_SF/
SWIFT_A2L414_A2L412_3	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L414_A2L412_3/
SWIFT_A2L414_A2L412_3_AOL	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L414_A2L412_3_AOL/
SWIFT_A2L414_A2L412_3_AZG	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L414_A2L412_3_AZG/
SWIFT_A2L414_A2L412_3_RS	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L414_A2L412_3_RS/
SWIFT_A2L414_A2L412_3_SF	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L414_A2L412_3_SF/
SWIFT_A2L414_A2L412_A2L310	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L414_A2L412_A2L310/
SWIFT_A2L414_AOL	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L414_AOL/
SWIFT_A2L414_AOL_AZG	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L414_AOL_AZG/
SWIFT_A2L414_AOL_RS	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L414_AOL_RS/
SWIFT_A2L414_AOL_SF	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L414_AOL_SF/
SWIFT_A2L414_AZG	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L414_AZG/
SWIFT_A2L414_AZG_RS	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L414_AZG_RS/
SWIFT_A2L414_AZG_SF	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L414_AZG_SF/
SWIFT_A2L414_RS	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L414_RS/
SWIFT_A2L414_RS_SF	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L414_RS_SF/
SWIFT_A2L414_SF	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_A2L414_SF/
SWIFT_AOL	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_AOL/
SWIFT_AOL_AZG	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_AOL_AZG/
SWIFT_AOL_RS	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_AOL_RS/
SWIFT_AOL_SF	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_AOL_SF/
SWIFT_AZG	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_AZG/
SWIFT_AZG_RS	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_AZG_RS/
SWIFT_AZG_SF	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_AZG_SF/
SWIFT_RS	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_RS/
SWIFT_RS_SF	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_RS_SF/
SWIFT_SF	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_SF/
SWIFT_SPORT	404	https://dcs.suzukiauto.co.za/Upload/Downloads/Service/ServiceManuals/SWIFT_SPORT/
